"name","title","description","updated"
"80783eng","Agriculture; crops, livestock and land use by general farm type, region","Agricultural census; crops, livestock, land use and corresponding
number of holdings by general farm type and region","2016-05-27T02:00:00"
"80784eng","Agriculture; labour force by region","Agricultural census; number of persons, annual work units 
and corresponding number of holdings by region","2016-05-27T02:00:00"
"7100eng","Arable crops; production by region","Area and yield per crop
Province","2016-03-01T02:00:00"
"70671ENG","Fruit culture; area fruit orchards, sort fruit","Cultivated area
Sort fruit","2016-04-07T02:00:00"
"37738ENG","Vegetables; yield and cultivated area per kind of vegetable","Area and yield per vegetable
Area, yield, kind of vegetable","2016-04-07T02:00:00"
"71509ENG","Yield and cultivation area apples and pears per variety and region","yield, cultivation area
fruit variety, region","2016-04-08T02:00:00"
"82504ENG","Livestock manure; production, transport and use; key figures","Manure production, nitrogen and phosphate in manure, nitrogen losses
manure processing, manure exports and manure use","2016-06-30T02:00:00"
"80274eng","Livestock cattle","Livestock cattle, position of dairy cattle and cattle for fattening
according to Agricultural Census and Earmark registration","2016-09-16T02:00:00"
"7373eng","Livestock pigs","Livestock pigs, number of piglets, sows and boars in April and 
December","2016-09-16T02:00:00"
"7425eng","Milk supply and dairy production by dairy factories","Milk supply by dairy farms, production of butter, cheese, milk
powder, concentrated milk and whey powder","2016-09-16T02:00:00"
"71483eng","Marine and coastal fisheries, fish prices","Auction price fresh fish
Species and period","2016-05-31T02:00:00"
"60006eng","Construction industry; productive hours in (non-)residential buildings","Productive hours construction industry
Residential and non-residential building","2016-07-18T02:00:00"
"7076eng","Construction; costs of alteration and new buildings, by building phase","Building costs of alteration and new buildings by category of purpose
by building phase by type of client, type of building and province","2016-08-30T02:00:00"
"81808ENG","Construction industry; turnover change, index 2010 = 100","Construction industry. Turnover: index 2010 = 100, change. By activity
(SIC 2008) and company size (all companies, 10 or more employed persons).","2016-09-16T02:00:00"
"81802ENG","Construction industry; turnover change by company size, index 2010=100","Construction industry. Turnover: index 2010 = 100, change. 
By activity (SIC 2008) and company size.","2016-08-16T02:00:00"
"82574ENG","Construction; value added, index 2010 = 100 and changes","Volume changes in construction, compared to the same period of the
the previous year and volume index figures, 2010 = 100","2016-09-16T02:00:00"
"70675eng","Consumer prices; rent increase for dwellings since 1959","The average increase of rent since 1959
 ","2016-09-08T06:30:00"
"82261ENG","Civil engineering works; Input price index 2010 = 100","Price indices on the basis of 2010 = 100 and changes compared to
1 year earlier regarding several areas of work.","2016-08-30T02:00:00"
"81139eng","Civil engineering works; input price index 2000 = 100, from 1979","Price indices on the basis of 2000=100 and changes compared to
1 year earlier regarding several areas of work.","2016-08-30T02:00:00"
"81886ENG","House Price Index by type of dwelling; existing own homes; 2010 = 100","Price indices, number sold, changes and average purchase prices
of existing own homes by type of dwelling.","2016-07-21T09:30:00"
"81884ENG","House Price Index; existing own homes; 2010 = 100","Price indices, number sold, changes and average purchase prices
of existing own homes in the Netherlands.","2016-08-22T09:30:00"
"81885ENG","House Price Index by region; existing own homes; 2010 = 100","Price indices, number sold, changes and average purchase prices
of existing own homes by region.","2016-07-21T08:00:00"
"81911ENG","New dwellings; input price indices building costs 2010 = 100","Total building costs, labour and materials
Input Price Indices and changes compared to one year earlier","2016-08-30T02:00:00"
"80444eng","New dwellings; input price indices building costs 2000 = 100, from 1990","Building costs, wages and materials
Input Price Indices and changes compared to one year earlier","2016-08-30T02:00:00"
"82039ENG","New dwellings; output price indices building costs, 2010 = 100","Output price indices and changes compared to one year earlier
V.A.T. included and V.A.T. excluded.","2016-07-08T02:00:00"
"80334eng","New dwellings; output price indices building costs 2000 = 100, since 1914","Building costs new dwellings incl. general costs, profit and risc
Price indices and changes compared to one year earlier","2016-07-08T02:00:00"
"70979eng","Price index figures on the production of buildings, price level 2000","Production indices on total output Price construction, new construction 
of houses, private sector and non-commercial sector.","2016-07-27T02:00:00"
"82324ENG","Housing costs of households; household, dwelling characteristics ","housing costs
characteristics household, characteristics dwelling","2016-05-13T02:00:00"
"83368ENG","Housing costs of households; dwelling characteristics, region","housing costs
characteristics dwelling, region ","2016-05-13T02:00:00"
"83163ENG","Rent increase dwellings; type of rental","The average increase of rent for dwellings in The Netherlands by landlord
 and in- and excluding harmonisation of rents","2016-09-08T06:30:00"
"83162ENG","Rent increase dwellings; region","Raise of rent by region, raise of rent in- and excluding
rent harmonisation","2016-09-08T06:30:00"
"81156eng","Trade and industry; employment and finance per sector, SIC 2008 ","Trade and industry; jobs, labour volume, costs and revenues, results
Industry, construction, trade, transport, personal and business services","2016-03-17T02:00:00"
"81850ENG","Continuing vocational training","Continuing vocational training incidence participation intensity costs
Total","2012-12-13T09:30:00"
"80393eng","Education; education expenditure and CBS/OECD indicators","Education expenditure and (inter)national indicators. 
Government, households, companies, foreign, per education sector, % GDP.","2015-12-14T02:00:00"
"80509eng","Government; expenditure on education and student grants, loans since 1900","Government expenditure on education
Per education sector, on student grants, loans and allowance, % GDP","2015-12-14T02:00:00"
"80006eng","In, through and outflow in education","Flow of pupils in education
Type of school, certified, gender","2011-02-11T02:00:00"
"03753eng","School size by type of education and ideological basis","Number of schools and pupils in the Netherlands
School size, type of education and ideological basis ","2012-11-29T02:00:00"
"81238eng","Netherlands Business survey, region, month","Realisations, expectations and opinions Dutch Business Survey
Production, turnover, orders, prices, workforce, stocks, ec. climate","2016-08-30T06:30:00"
"81234eng","Producer confidence; sentiment indicator manufacturing industry, branches","Producer confidence and components
activity, order books, stocks and branches","2016-08-30T06:30:00"
"71158eng","Investment climate; broadband subscribers international comparison","Broadband subscribers, types of broadband subscriptions
Country","2012-04-18T02:00:00"
"71163eng","Investment climate; capital international comparison","Capital stock and investments
Countries","2013-02-26T02:00:00"
"71166eng","Dutch economy international comparison, 1960-2012","GDP and labour productivity, Employed labour force, Quality of life
Countries, periods","2014-09-22T02:00:00"
"71162eng","Investment climate; entrepreneurship international comparison","Entrepreneurship, firm turbulence, fast growing enterprises, propensity
towards entrepreneurship and self - employment rate broken down by region","2013-02-19T02:00:00"
"71159eng","Investment climate; functioning of government international comparison","State control, online availability of public services, government
effectiveness, ad hoc and sectoral state support broken down by country","2013-02-05T02:00:00"
"71156eng","Investment climate; human capital and labour supply internat. comparison","Tertiary education attainment, employed persons and unemployed
Country","2013-02-05T02:00:00"
"71155eng","Investment climate; infrastructure international comparison","Efficiency of distribution infrastructure, ICT - infrastructure and
knowledge infrastructure broken down by country","2013-02-05T02:00:00"
"71164eng","Investment climate; innovation international comparison","Innovative enterprises, patent applications, turnover of new or improved
products and employment in high-tech sectors broken down by region","2011-02-28T02:00:00"
"71161eng","Investment climate; market competition international comparison","Mark-up, barriers to entrepreneurship, trade and investment, employment
protection legislation and state support broken down by country","2013-02-05T02:00:00"
"71160eng","Investment climate; macroeconomic conditions international comparison","Inflation, long-term interest rate, gross government debt, imports and
exports related to GDP and container transport broken down by country","2013-02-12T02:00:00"
"71167eng","Investment climate; Dutch economy international comparison, 1960-2012","Gross Domestic Product, exports, Foreign Direct Investments, inward,
Value added in services and population size broken down by region","2011-03-14T02:00:00"
"71454eng","Investment climate; office rents international comparison, 2001-2013","Office rents and occupancy costs
Country","2014-09-26T02:00:00"
"71445eng","Investment climate; old- and young-age dependency, 2000-2050","Young- and old-age dependency ratio (prognoses) broken down by country
EU and OECD countries, 2000-2050","2014-08-20T02:00:00"
"71447eng","Investment climate; society, 1990-2013","Job mobility, social benefits, minimum wage
Countries, periods","2014-09-29T02:00:00"
"80728eng","Investments by enterprises in industry; expectations and motives","Investments, expectations, motives, enterprises, industry
Business Sector SBI 2008","2016-06-08T02:00:00"
"82190ENG","Corporate data; turnover developments (growing and declining ), SIC 2008","Businesses with a growth or decline in turnover
Business activity and business size","2016-07-20T02:00:00"
"80066eng","Enterprises with innovation; key figures","Innovators, Innovators with realised innovations, Co-operating
innovators","2010-07-23T02:00:00"
"82011ENG","Ultimate control of enterprises in the Netherlands; jobs, wages, SIC 2008","Jobs and wages of employees at enterprises in the Netherlands
by locus of control and economic activity (SIC 2008)","2014-02-04T02:00:00"
"82010ENG","Ultimate control of enterprises in the Netherlands; jobs, wages, size class","Jobs and wages of employees at enterprises in the Netherlands 
by locus of control and enterprise size","2014-02-04T02:00:00"
"80335eng","ICT use by companies broken down by sector of industry (SIC 2008), 2008","Internal and external networks, ICT applications, ADE, SCM, RFID
Sector of Industry (SIC 2008)","2011-04-07T02:00:00"
"80336eng","ICT use by companies by company size, 2008","ICT workers, internal and external networks, software, ADE, SCM, RFID
Company size","2011-04-07T02:00:00"
"80337eng","ICT use by companies by sector of industry (SIC 2008) and size of company","Internal and external networks, software, ADE, SCM, RFID
Sector of Industry (SIC 2008), size of company","2011-04-07T02:00:00"
"80427eng","E-commerce, purchase and sales at companies; size of company and SIC 2008","E-commerce, electronic purchase value, electronic turnover
Sector of industry (SIC 2008); size of company","2011-03-24T02:00:00"
"80439eng","Research and development (R&D); key figures","R&D expenditures: own staff, Full-time equivalents: own R&D staff
Periods","2012-06-15T09:30:00"
"81819ENG","Business services; turnover developments, index 2010 = 100","Business services. Turnover: index 2010 = 100, change.
By activity (SIC 2008).","2016-08-31T02:00:00"
"81818ENG","Temporary employment agencies; turnover and hours worked, index 2010 = 100","Temporary employment agencies. Turnover and hours worked: index
2010 = 100, change. By activity (SIC 2008).","2016-08-31T06:30:00"
"82438ENG","Hairdressers and beauty treatment; turnover development, index 2010 = 100","Hairdressers and beauty treatment; turnover development, index 2010 = 100
ontwikkeling naar bedrijfsactiviteit. SBI 2008","2016-08-31T02:00:00"
