"name","title","description","updated"
"82010NED","Zeggenschap bedrijven in Nederland; banen en lonen, bedrijfsgrootte","Banen en lonen van werknemers bij bedrijven in Nederland
naar land van uiteindelijke zeggenschap en bedrijfsgrootte","2014-02-04T02:00:00"
"82011NED","Zeggenschap bedrijven in Nederland; banen en lonen, bedrijfstak (SBI 2008)","Banen en lonen van werknemers bij bedrijven in Nederland
naar land van uiteindelijke zeggenschap en bedrijfstak (SBI 2008)","2014-02-04T02:00:00"
"81251ned","Banen werknemers en afstand woon-werk; woon- en werkregio's","Banen van werknemers en gemiddelde afstand tussen woonregio en werkregio
Naar woonregio en werkregio: COROP-gebieden en gemeenten","2016-01-25T02:00:00"
"82049NED","Banen en lonen; werknemers 15 tot 65 jaar, onderwijsniveau en baankenmerken","uurloon, leeftijd, baankenmerken, onderwijsniveau
werkenden","2013-12-13T09:30:00"
"82074NED","Banen en lonen; werknemers 15 tot 65 jaar, persoonskenmerken, beroepsniveau","Banen van werknemers en uurloon naar beroepsniveau, leeftijd of herkomst-
groepering, onderwijsniveau en SBI 2008","2013-12-13T09:30:00"
"82072NED","Banen en lonen; werknemers 15 tot 65 jaar, onderwijsniveau, SBI 2008","bruto uurloon, leeftijd, onderwijsniveau, SBI 2008
werkenden","2013-12-13T09:30:00"
"81252NED","Banen werknemers, geslacht en leeftijd; woon- en werkregio's","Banen van werknemers en gemiddelde afstand tussen woonregio en werkregio
Naar geslacht, leeftijd, woonregio en werkregio","2016-01-25T02:00:00"
"81497NED","Banen van werknemers; bedrijfsgrootte en economische activiteit (SBI2008)  ","Banen van werknemers per bedrijfsgrootte
bedrijfstakken en branches SBI2008","2016-02-12T02:00:00"
"81402ned","Banen van werknemers per december; economische activiteit (SBI2008), regio ","Banen van werknemers
Regio en economische activiteit","2016-02-12T02:00:00"
"71814ned","Banen van werknemers; economische activiteit en geslacht, SBI '93","Banen van werknemers naar economische activiteit en geslacht
bedrijfstakken SBI '93","2012-10-05T02:00:00"
"83257NED","Instromers flexibele schil; arbeidsmarktpositie, baan- en bedrijfskenmerken","Flexibele schil, flexibele arbeid, flexibele baan, tijdelijke baan
Arbeidsmarktpositie, soort flexibele baan, sbi, bedrijfsgrootte","2015-12-23T02:00:00"
"83255NED","Instromers flexibele schil; arbeidsmarktpositie, persoonskenmerken","Flexibele schil, flexibele arbeid, flexibele baan, tijdelijke baan
Arbeidsmarktpositie, geslacht, leeftijd, herkomst, opleiding","2016-07-15T02:00:00"
"83256NED","Instromers flexibele schil; arbeidsmarktpositie, woonregio","Flexibele schil, flexibele arbeid, flexibele baan, tijdelijke baan
Arbeidsmarktpositie, landsdelen, provincies, corop, stedelijkheid","2015-12-23T02:00:00"
"80472ned","Vacatures; SBI 2008; naar economische activiteit en bedrijfsgrootte","Openstaande, ontstane en vervulde vacatures
naar economische activiteit en bedrijfsgrootte","2016-08-12T09:30:00"
"80473ned","Vacatures;SBI2008;particuliere bedrijven","Vacatures particuliere bedrijven,
naar economische activiteiten en bedrijfsgrootte.","2016-08-12T09:30:00"
"80474ned","Vacatures; seizoengecorrigeerd, SBI2008","Openstaande vacatures,seizoengecorrigeerd 
naar particuliere bedrijven en overheid","2016-08-12T09:30:00"
"80567ned","Vacatures; vacaturegraad naar SBI 2008","Vacaturegraad
naar bedrijfssectoren en bedrijfstakken","2016-08-12T09:30:00"
"80857ned","Vacatures (openstaande, ontstane en vervulde); overheid en onderwijs","Openstaande, ontstane en vervulde vacatures
naar acht overheidssectoren","2016-08-12T09:30:00"
"80900ned","Vacature-indicatoren; alle economische activiteiten","Vacatureindicator
Industrie, bouwnijverheid en commerciële dienstverlening","2016-09-05T02:00:00"
"82306NED","In het buitenland geboren werknemers; GBA/niet-GBA, geslacht en leeftijd","In het buitenland geboren werknemers, wel/niet ingeschreven in GBA
naar geslacht en leeftijd","2015-12-23T09:30:00"
"82307NED","In het buitenland geboren werknemers: GBA/niet-GBA, herkomst, SBI'08, loon","In het buitenland geboren werknemers, wel/niet ingeschreven in GBA
naar geslacht, leeftijd, herkomst, SBI'08 en maandloon","2015-12-23T09:30:00"
"82579NED","Arbeidsvolume naar bedrijfstak en geslacht; nationale rekeningen","Werkzame personen, banen, arbeidsjaren en gewerkte uren
Bedrijfstakken, geslacht, werknemers en zelfstandigen","2016-06-24T06:30:00"
"82575NED","Arbeidsvolume en werkzame personen, kwartalen; nationale rekeningen","Aantal werkzame personen, aantal banen, gewerkte uren per kwartaal
uitgesplitst naar type werkenden, oorspronkelijk en seizoensgecorrigeerd","2016-08-12T09:30:00"
"80137ned","Arbeidsrekeningen; leeftijd en opleidingsniveau","Arbeidsrekeningen naar geslacht, leeftijd en opleidingsniveau
Banen, arbeidsjaren, gewerkte uren en beloning","2009-07-10T02:00:00"
